tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Polkaevent Com,12GfJZjsUzXxTYXxYcYHArYzC1Hs9E83VniVCEFLpdG7pybW,Scam,Phishing
Claimpolka Live,12aCLUsyTCWn5Dzf5wxuuRm93dx9rkAF5rqw9zBDTV5NSY1E,Scam,Phishing
Getpolkadot Net,14yHC3SsfvF6mDLG5co7hyX124hJmriUJA6oFHBVaqa8MUF5,Scam,Phishing
Polkadot Center,1sGUwgsvuzuyKCD5i1V2zG92C8b2udF3rnB7VvDq8S2ddfd,Scam,Phishing
Polkadot Center,12sGH82aAENExuio8BpNqXGxaXgrxMS88Qm9bfSJrav9Nito,Scam,Phishing
Polkadot Center,1b75pxy41SLXDeoddmV1cnCzg8G9MVPWZjJ9Ej46ePvWKvZ,Scam,Phishing
Polkadot Center,15z4uj2amXJNiRbb4hRje5hSKCh9M8EEfKh1CYfXPDn86Q3Q,Scam,Phishing
Polkadot Center,133t5Gs2ccbjHN7dYD4Qwr6sxK8Lgg8pFVJPy1nDaPWvYZFP,Scam,Phishing
Polkadot Center,15dLxX36VPeP2LvFDYAjT5h4T4aHT7z6YoUSe9fBZSnGhJ9m,Scam,Phishing
Polkadot Center,12nNSFLEJU2HiuSidgd3c1bzSNn82SNpobnGso5GXF43eme6,Scam,Phishing
Polkadot Center,15D9AzetihsSKbtENL4TL9q8AeQkAaZTLiu7rWE3dXaMvb7t,Scam,Phishing
Polkadot Center,14Vxs7UB9FqfQ53wwTJUBAJThs5N7b3bg89HscRU6eBqrFhQ,Scam,Phishing
Polkadot Events,13bV6nsJJe9HUafMfQxWwwabs7ovgef3RWvyndBWaGDkQiJ3,Scam,Phishing
Polkadotceo Com,145Q8TtcaosvWTWsQ4G7DARkwPEsDQPdaptKMhDww8QGnG3Z,Scam,Phishing
Polkadot Express,1m4ETpXD8ea24oFkegbBfFSC3nXh6FqGuvgXdxpq2iQyUkn,Scam,Phishing
Polkadot Express,13nHdwVLfHNbfj7aAxCwXhdS8HvCKggMpzy7B65jgcUFXRp9,Scam,Phishing
Polkadot-Get Com,1xxiVzncNRjFHMHUo27iLDo931f35YjVQauRBWuA4JEHfRz,Scam,Phishing
Polkadot-Get Com,16hGDoTMCp5MidmTrNrM7C4PmW8YsKHWdfWuYNS4j7uqUMZ8,Scam,Phishing
Ukraine-Save Com,13wP3jcfC6peD5YrARcPoUseqPAoQGqpcFNfhRawEV3sGWTW,Scam,Phishing
Claimpolkadot Com,1SvcGb9f2gysJAqwox5sTQpyyKjtDUaz4q5RUYANB6uFkQw,Scam,Phishing
Claimpolkadot Com,16haZsnTpsAK3PaqRJJE16Zasq9WkpovgUCdQGStKHMskLdp,Scam,Phishing
Kusama-Wallet Com,DfcWKx1P9hXGYFg3Wef1Shd2eXzEq2zbCxNDj3ensKBbpgy,Scam,Phishing
Polkadotevent Com,155o9qsbLFQdWRdhDvJZAdnmBHQCnbrbSbbpnH27618CX1ry,Scam,Phishing
Polkadotevent Net,12nBTeJMfs4wkBaSduGX9495JTeqCSKKE1k6ajz3rC7TyW8j,Scam,Phishing
Polkadots Network,125NoipEsCbtFHNW9b2oyBpKQue5Rco2KJKveB5QQJLQJKyY,Scam,Phishing
Polkadots Network,12MxahH5ht8VhJBHtgs5JzaB2BQu3FBc3f5ydi6q9t31AHbg,Scam,Phishing
Polkadots Network,14h58wtSWXy6sh8F2XhSb87RLQK6puYWFkeyewYnprcxzz9Z,Scam,Phishing
Polkagiveaway Com,12HR9ciHKMmcs7MJhykPUEhSk7ssA1eu7VWZyoLqyZ1os4Uf,Scam,Phishing
Claimpolkadot Live,14jjC4vmMS8QvbRKKkyyQaqkdWysqGUwhtwxoRV5WT71b1Ho,Scam,Phishing
Clipboard Hijacker,144cEewJH4TCxr9LamDAuQRTaFkNmws5E8mEibyiTB5PKByi,Scam,Phishing
Clipboard Hijacker,15hXAH4wYrCKz3R2MVRTaY3y8yqMePHova2KCwvQGd2shLDz,Scam,Phishing
Polka-Live Network,12Wq34hifmLv4MGZKof1XnA9hugnzMyjqos1ffGretnDSkKn,Scam,Phishing
Polkacoinbonus Com,14iSVrf4GM4SCV1eYCBJpLKjRDjWvLEdb1Rk7jmQSjhkCScv,Scam,Phishing
Polkacoinbonus Com,13WKPgYxPyzL8KMcqZ94eSFp2FoQH4AUxxLgjj7Sgkdhw6R9,Scam,Phishing
Polkadot-Event Com,15GhxqrycWiRe9PePtN5CppTk8g63dXgM5vm9a9gwRMbPjRZ,Scam,Phishing
Polkadot-Event Com,124QZBBTZtPDGPS4GqK6w8y5rPUC7EydLka9Gk3qCTDemGTN,Scam,Phishing
Polkadot-Event Com,13DW6RWgjUPcZ9mwwEMcb8qBcakQyzpxNw8ic32QXAEfGLxW,Scam,Phishing
Polkadot-Event Org,169jsdkPSn4HrXqPZUzjfdW8e6HzvGgGEzgSpwABwiQWD7Hx,Scam,Phishing
Polkadot-Gift Info,15qfYtQaRHHqxxAhRX5qKh6HXeWaSaF7rLfzjLtgW27USYH1,Scam,Phishing
Polkadotevent Live,16jsZHnWhg7uSeFfG7DFPo1SEd12RZURFsbvX35oHW61oTqw,Scam,Phishing
Polkadotstake Live,1SApiFKXgNzu6uvbHLPNccfEW72bwX9XuHCm9czsrXsNttv,Scam,Phishing
Social Engineering,16JeATU8HazNbaMkpNW2niozWgNu1A6dx5u2kKs7pZaS4Vze,Scam,Phishing
Youtube Scam Video,13xuoAwwqfZuyAsRuUBasa8AhjdqzRbdyS3m52Lu6oCpFQRv,Scam,Phishing
Youtube Scam Video,1461Dsvr9GmkRjUkdJcYGP6HFygwQeZcspc6W5QgJVAT59yt,Scam,Phishing
Youtube Scam Video,14gWkqi6J3U4mcRTCi7yy824S2GepSNqpM4xNjLTCzGQpCst,Scam,Phishing
Defi-Integrated Com,13s3zbrb81St5Bh8QtzxTujLzjBCa5uheXznzv7QWrE89p7w,Scam,Phishing
Polkadot-Event Live,13xyaXynjLvjyFGLnzJRAc22CTL92YBKFxvUHjw3jk63RJru,Scam,Phishing
Polkadot-Promo Info,1s3B8f5dJbtV4rVTZs1WNRpzKCUJWxK2zULErjmA52Do2SF,Scam,Phishing
Polkadot-Wallet Org,12aTob47XtRAYUUjUyxAH92gDLwrEwq8YGzLVptUJytuqF3U,Scam,Phishing
Polkadotairdrop Com,1RnWVvUiL9ZmDEYWxSpNyrWhq9gHEQcihFoYBdJTmuWjaav,Scam,Phishing
Polkadot Activebonus,14SmaFsh7VitSn8mdTZyb4Z7RuVWyCPLKJF7zNweUzr5WHsH,Scam,Phishing
Polkadot-Airdrop Org,12We44NDCNUWa9tnfgxmSc38vDXFXcnLDkGdL2Xy45mnhZ52,Scam,Phishing
Polkadot-Airdrop Org,14BFcanA3zYTpbCmzKGXVEnFe9WoBCq3JdPQdnsiEgEhXSA2,Scam,Phishing
Polkadot-Airdrop Org,14oEqqqCabUQdsdq1zP1qdb8b4uhEnc2mL1YYHKf8xYbh8FB,Scam,Phishing
Polkadot-Events Live,157S94u4bwXapUzQxJsch14c8V2qGHvSLVp3iY1neEUQrPrE,Scam,Phishing
Polkadot-Online Live,16h6cD9DvRkz7Z8Xd43BTmubqaSQcZ3EUMD3tiHNwJ6kuhQa,Scam,Phishing
Polkadotlive Network,1kkuZEr93AtZL9mDyo2ZBXLm7cjCpABiitieYVhKLFniP2m,Scam,Phishing
Polkadotlive Network,166a8ThxgaTseVJ5ado3qmyg9YkYfys81uNw94PTZceAmZoX,Scam,Phishing
Polkadotlive Network,12BSDyhSV4XXmBXcgKTnsMi6e4ir56ttufiXB36x7v4utRNw,Scam,Phishing
Polkadotlive Network,161tc4jLym61rz84WaxqBiiBovmH2FmnKGVDKcZyquwUxJEg,Scam,Phishing
Polkadotlive Network,16C6TrBTi7VohiMguZeSCNPxwqYTR9eWWoQsbwnJ7wtJTD2N,Scam,Phishing
Polkadotlive Network,16UDgowT2DEEk73EX2bB5c5HmuvJrLvmWsGomWmyK3CqyzVz,Scam,Phishing
Polkadotlive Network,13PD34YRdcLAfwPpuWTbRBDMYXCvzYU5gKkJt5h7hEc6nezv,Scam,Phishing
Polkadotlive Network,15TZMmGy3eX6FJqCJHLir4KSnd5ECUukFVvgfEPCuDhe8asx,Scam,Phishing
Polkadotstaking Live,15aAz55RFFPYTs7P9eWry5AeYy75mgyqJQ4BNspcBPjFonns,Scam,Phishing
Claimpolkadot Network,15LmfYr1UwK9ghjn5cNYoBmApaiWGFNnhBdm6nQF87vY2AcV,Scam,Phishing
Polkadot-Airdrop Info,13DUJB2UFQYJNG8eAgvbPUDZowTnb45cq7EM7WvtkNksPMZW,Scam,Phishing
Polkadot-Airdrop Live,15x6f6M42ccmTq3emCtyCZUKCbYLH3msCPmHGnEgwUxZRAu4,Scam,Phishing
Polkadot-Airdrops Net,15qeaJ252MdLNjiEfhb7aLrbDCekLT6MUtkVQPqKGa9P8r5J,Scam,Phishing
Polkadot-Autopool Com,1qmaACn27JqK2hsg24n8AaptPtNqNMWKNXUvySnBuWzdQ8x,Scam,Phishing
Polkadot-Give2021 Com,12BiQc2z8baceu1DLNSXYRbQHGCrf3Gfg8oqrVZQkVcUZYgN,Scam,Phishing
Polkadots-Airdrop Com,134FGPTdSgz7vH2jMHRGNJA53irZ8xJeHauTmowNkfLez3BQ,Scam,Phishing
Polkaeco-Airdrops Org,13wVdQNmLTyvcxk4ZrXtwUFT1CBHT9s15SXH7EmPpFPHh8c4,Scam,Phishing
Polkadot-Bonus Network,1DsARAWRSyMoy815SeZrFytb74Qvw7W2wsrsYWZxZmHcRC4,Scam,Phishing
Polkadot-Bonus Network,12RGBMjuLkCX6TKUoG33Fm4SzpxNYjwjgqHZ9huk5Nk4NAPh,Scam,Phishing
Polkadot-Airdrop Online,13tPgZsgmExwuRRKFsvj16LCVN4XXKtjGMH5yLW7cit8GJ73,Scam,Phishing
Polkadot-Reward Network,1rJAfox6RPpjCFwD1uPADQhfa2DJkyEKiASH5G1FNhzuRvW,Scam,Phishing
Ukraine Donation Scam 5,16DX6xUAPHknWzpbuxk82E2oUddFnrykFgmyQnrnRABnEZ18,Scam,Phishing
Instantwalletconnect Org,14Vm4o3uNZdEJvjGsoTGcWAac8pKETuCvThrv2toGRd5mqjd,Scam,Phishing
Polkacompetition Network,13wexwAAKXFmubsbWtrWpy2F5osPNFhEsCUdoV1z2NMmxESm,Scam,Phishing
Polkadotcngiveaway Network,133R8fsXDoUyXqPCXJcRvGHo8fyjqxVrVFkyZGCEewc4M4zR,Scam,Phishing
Phishing Polkadot Extension,12KYiC8PZaXuGFay57m8TJCeHaRGp1uy4ADMiqVkXArMiSqP,Scam,Phishing
Phishing Polkadot Extension,13dwDYAFBrpsxQi1XUCor8FKUs7GQcEM6oGGaDhEE9y8CXYd,Scam,Phishing
Polkadot-Bonusevent Network,12fqbLtHefPtK5bN4t68J5aqci4XoWcQp9ZfZFMUZ7rceVg9,Scam,Phishing
Nova Wallet Scam Google Form,1Tv9SryHw1NhqKbuwWD2TCjV3mQ7h9qGuP5MJXVjnw8o7uU,Scam,Phishing
Nova Wallet Scam Google Form,12NA5ErmRq3WnztaMjweV1H7n2xs1QKRUEaLgANi6SUkKmTE,Scam,Phishing
Polkadot-Bonusevents Network,1uzCNYyqpYumCMnHbqzDg1FisVq8ttxW5ykw45cTphtsxuW,Scam,Phishing
Airdropcampaign-Polkadot Network,14FscqFT8S8W8emC5294cEpDctgAucJW7C99mpxS4cucpHoA,Scam,Phishing
Polkadot-Airdropcampaign Network,128yJEQjj3chFwgvWwp47tDPP1GewnJLz46et8dvRpq63JPX,Scam,Phishing
Stolen Funds From High-Value Hack,143rTgKSSq1dd24BV27egTjbeGnQbhHot4XssjyiU7ZyrjHR,Scam,Phishing
"Polkadot2022 Net, Polkadotevent2022",1Rb2Uhkkztfz2oJewKXcEBRykQurtJAZ1zLEsWyrFs24RFD,Scam,Phishing
Stolen Funds From Dotmarketcaplo Hack,12LGvoDJshX2qumCyFWSUwf3K8UKNp9Q5PsuJEmt9rmnMsen,Scam,Phishing
Ukraine Government Charity,1x8aa2N2Ar9SQweJv9vsuZn3WYDHu7gMQu1RePjZuBe33Hv,Donation,Charity (Political)
AEX,13ShBGL3GFBLDGZBbGwyaBfm9J4VDCU2TPTrNSsA32XwpwCg,Exchange,Optional KYC and AML
AEX,15ogx65ckfUv7R3F2G2WPLwbGr92Joqo8biuVYqfAqAc2j1x,Exchange,Optional KYC and AML
OKX,12XMFF9fueBgeEvHkgAiDeWn5Nf15x4wy4J7aP8RnjTjQdrk,Exchange,Optional KYC and AML
OKX,16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,Exchange,Optional KYC and AML
BTSE,12jk2dAi6qdUNHs5TrXRPdEhm55SyjNV59PfxjMVfAUjKZQ8,Exchange,Optional KYC and AML
BTSE,12VtL3rEAbL8hatKgGb5AWjPj1CY11bQGT7o9cuPF8jwbXyF,Exchange,Optional KYC and AML
Nexo,18fSCQMXBqftjFqnsyR3Sf3KqkyYiosSNMubvq3jetge3ws,Exchange,Optional KYC and AML
Nexo,14hyogTZNqGwpNhUNSXgyVQSPETkktK9cnUFto98vdBbgR7Q,Exchange,Optional KYC and AML
Bybit,12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz,Exchange,Optional KYC and AML
Bybit,15TzCwVFTDp9D7MKjuHTyaBQU3KGkxFhNn9w11yAbi7vVLDF,Exchange,Optional KYC and AML
Bitget,15u2N1pqWr56teREjQTP5M3tk1SPQjEoUAV6jFfcQCoVy3S5,Exchange,Optional KYC and AML
Bitget,15G56Tim1MrBKEZyiV2zk34suMRzRP2CYiKAPrwcnhUJ9wm6,Exchange,Optional KYC and AML
Bitkub,1qR8w3wBKFPirhWRtbVvi3fKwKetufxaU6EZGkaKaGEFZ3T,Exchange,Optional KYC and AML
Bitkub,12gW3zMVmGmi2uwxZYNXrqFce21XiMTThP6xLjDbJkiYKxSS,Exchange,Optional KYC and AML
Crex24,12oWX6xrYn69g17GY8Yy4yfdBCSPaCEXQf7BcvgcrAH5fj36,Exchange,Optional KYC and AML
Crex24,157T3LgxajUfqsSx8ofPCgf1bhn2SXEgHrkNzxRcJkChg8ny,Exchange,Optional KYC and AML
Hotbit,13i7h6AEYryRi4bRrSTFGgUhasDfZfUQKm6tjhxKcXoGcaNB,Exchange,Optional KYC and AML
Hotbit,1qAqtXBfA7wYwuG759Sh3jphPmx73V8Bfvxjvenqyzzh4T5,Exchange,Optional KYC and AML
KuCoin,15SbxvcrYSQzjpWk6SpiHUyRKEZMCFVzgA7QKspvFqU5jy82,Exchange,Optional KYC and AML
KuCoin,14by7LC5WgZzjWZ3PUH6e5JmqHgi62anLBEyUQ3ShcVvMpKi,Exchange,Optional KYC and AML
Bitfinex,14opbwk8jbAHKgd6fSUArEJNdHfAVy8zjjdNbofisPkdL1Ro,Exchange,Optional KYC and AML
Bitfinex,12T1tgaYZzEkFpnPvyqttmPRJxbGbR4uDx49cvZR5SRF8QDu,Exchange,Optional KYC and AML
Bitforex,15ovTotZ2cXyr33f7m1UdvcXKK9WdNTGnzpwf3NPZSfKRuG,Exchange,Optional KYC and AML
Dex-Trade,126ewdWjaskxHYZ6JNsL6ZUpoEeucbBSddCUX6AUCb4paR7N,Exchange,Optional KYC and AML
Dex-Trade,15XJ1zyzqEuxC25qPPkJZ9Guzivwh3HmoHUN5CEUsf1McvXh,Exchange,Optional KYC and AML
ZB,15GGYrznFy8wJ2bQv9NqqYCUT9RQwPrRsakkgUqGyRfVecd4,Exchange,Mandatory KYC and AML
ZB,12ipDY3wmUDn67qRtr4GVnQi9K7naXcD35SfDBNHCmry6FrC,Exchange,Mandatory KYC and AML
AAX,1h3SgUPzyYxDuN41DYTm8LnZDbmG7nf9JvC4mxpemHPDSw7,Exchange,Mandatory KYC and AML
AAX,15ArnGXBHNeqtREvkWsukUKQBHqhNDU8KdshNaf3xnp9pUFw,Exchange,Mandatory KYC and AML
ACE,1HEGYshS1hpA2wmWHJowFVLu22bR357J8mWbPiyZvs9YQAn,Exchange,Mandatory KYC and AML
ACE,16ZxEsNWgxpifHnLrrC2PvGh1AYUTKUJuYPNCp5ox6gV4fHt,Exchange,Mandatory KYC and AML
FTX,15cpA3CDgnra1CAHs6pKrZuiNWzPfnUycRZbNocFZn8rfUNy,Exchange,Mandatory KYC and AML
FTX,15GADXLmZpfCDgVcPuLGCwLAWw3hV9UpwPHw9BJuZEkQREqB,Exchange,Mandatory KYC and AML
Hoo,11vDFA9c3Y5pLssCNWi1penuxvGB3mT7DXg7XPUzcwcs4fr,Exchange,Mandatory KYC and AML
Hoo,1GtkUZjq8cC5Mt3ZYe6EXqifTCRekQLLEPsxDYvQWYhyDyY,Exchange,Mandatory KYC and AML
BKEX,12gsv2bcvUYqLfvQiK8EkJQ7r6XMnibpDAQVW5hQVTK25muJ,Exchange,Mandatory KYC and AML
BKEX,138MUzcw8P647cCsNA4t5gqAfb4qDXtZD5jCmwt9TipRe4vK,Exchange,Mandatory KYC and AML
STEX,15ME2z7Uv3okBdTgMZpz2ERoLeUskzjUCMZnijQe7ojXAQgN,Exchange,Mandatory KYC and AML
STEX,16hiFgxP2bW83YnaWBwWvszX2rYqzhS7sd1RBLboTJHQmbjE,Exchange,Mandatory KYC and AML
CoinW,14hpZyx46NnhZ53BsNtkzdQ4b4hyvqnm58TpbSbaHetuZCPd,Exchange,Mandatory KYC and AML
CoinW,16Hyvo9eovvrNjkojcSQimyijpJFGxrGMrcCsDukseaMaouH,Exchange,Mandatory KYC and AML
LBank,12Lwyc9NZUdY6jpqZKNSh3nHVZuYEWBEpTRERgykUNCWLMrc,Exchange,Mandatory KYC and AML
LBank,12LbKT3Rn9fzhFs2m7hTHSRV3ZMxwuf6t9ByyaenNDj6cnUf,Exchange,Mandatory KYC and AML
Bitrue,16EHBXwLvYh8xkFx1VyduJLNZhobitJDWYC8h44LjykJGt7d,Exchange,Mandatory KYC and AML
Bitrue,1F5fhgHpekmLPSdbwESJRsWU5KJdhEFZuwBMTj1czBuvyzm,Exchange,Mandatory KYC and AML
CEX.IO,12mdi7XGU4jLGXZf6pnDKoYoBun3JqZs2NJxjBUrDJhFU5aV,Exchange,Mandatory KYC and AML
CEX.IO,16k7GSZckaQEqatoxpvxy8QgGSquULbKJa9HgEeQjZV8YyCr,Exchange,Mandatory KYC and AML
CoinEx,1UbTddpy3RggGy3nk1vAc3msmSBasbhiYRQZnAdvNdUSXJn,Exchange,Mandatory KYC and AML
CoinEx,18VNfaJqsdVEy4XL9dyatkvQ9UrzoxvmsL7ipoMh86AqHtc,Exchange,Mandatory KYC and AML
EQONEX,142aoGpuFzSQ8WuiQMb371RMEhAiJY4gNoy9MHc4uZmCXuet,Exchange,Mandatory KYC and AML
EQONEX,1fFWfuD7sCGWHyyD13pWAMN67kXrf9z2aoG3mSjP8Fe2RHn,Exchange,Mandatory KYC and AML
HitBTC,11z653NsxPQRGXbQwsTPB4cZgK4x4QAcxwhoBwQHedHKJgn,Exchange,Mandatory KYC and AML
HitBTC,15P3xxCWPUJHsTN7WEiUtAkskTzN4VgNvrJeFTCt4pzKNWZZ,Exchange,Mandatory KYC and AML
Kraken,143baLoqEZpLT71E3tnuqrwHKopw6UiQvv7fJyY4kmAvVzsd,Exchange,Mandatory KYC and AML
Kraken,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,Exchange,Mandatory KYC and AML
OKCoin,12pkuvFrPP77iH2cYkLUZS7ULTARJYWKJWHaFNzDd5VqVWff,Exchange,Mandatory KYC and AML
OKCoin,14GHi1hWWef7y6BSdDjhKgoZeA56FwcHTdGRaMuiFX5w2rYP,Exchange,Mandatory KYC and AML
Binance,1exaAg2VJRQbyUBAeXcktChCAqjVP9TUxF3zo23R2T6EGdE,Exchange,Mandatory KYC and AML
Binance,138wzjBUDvzuCzyase3dKmKQbVds6wbPUQVE8VZXk7sLx2ie,Exchange,Mandatory KYC and AML
Binance,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,Exchange,Mandatory KYC and AML
Bittrex,12Uce6rA9RMor8miSLBdx7shoTc82aHFfCXuuwtyJXYSimsu,Exchange,Mandatory KYC and AML
Bittrex,14AMy7J61P7BfyRMdCh1L9Wp31GLCcqrWaeidqLZTheeuNSp,Exchange,Mandatory KYC and AML
ChainEX,16Psz7q2pb5Ez6WeWhYLiyqgMrGLKF8werQLZi5Bs8BsWVax,Exchange,Mandatory KYC and AML
ChainEX,13xDqSHYniG9BFtagfaxNTRmqSguaEHDcXohsADDCmJLrTcu,Exchange,Mandatory KYC and AML
Gate.io,15zF2vjUoKeQNN42gPqXDNPBRtrwJCcZyiXyHEJk6Lpu2AQf,Exchange,Mandatory KYC and AML
Gate.io,1JVrK16XZm9vyZjHoYVPjtZ35LvTQ4oyufMoUFTFpAUhath,Exchange,Mandatory KYC and AML
OceanEx,13s9TR5r8ZsrLY7thxuFTZUBvv8WAaWkbJY2YcXcRccUQgZ8,Exchange,Mandatory KYC and AML
OceanEx,1rJpvZPQFjU7Q8HH2r3cuTGcjYbtH1BKHrfmVSGdNCUFJVJ,Exchange,Mandatory KYC and AML
CoinFLEX,16JCm2QCHqcFuNzmcvmwhqMaKw572ExoV3wBXsG7tCJ16Bs,Exchange,Mandatory KYC and AML
CoinFLEX,12HE4LA7NF1xjKqAPbCWkb9JfoM1pvinhPpzZ3iDDBjbpr84,Exchange,Mandatory KYC and AML
CoinSpot,15KYYgGZPzWmovf2tPrtREw22nhgC8t4U5KLg7kgZomvM5UE,Exchange,Mandatory KYC and AML
CoinSpot,12z8yQV6UwK95vPw69EFESFUixS5sueh1qjNp32EaGKHco1n,Exchange,Mandatory KYC and AML
Coinbase,126h1Xnd7k2Za3fcoLN4xYkKRc5X91tefSNMLcGsG195DYPF,Exchange,Mandatory KYC and AML
Coinbase,148fP7zCq1JErXCy92PkNam4KZNcroG9zbbiPwMB1qehgeT4,Exchange,Mandatory KYC and AML
Coinbase,12P4Y3hV6r2D7A7saeC9JVfjVpxA757AeDJrGT7u9T6t6KwR,Exchange,Mandatory KYC and AML
Poloniex,15YVfxAkATndVv35pYj3dSUeqXHVPMSZ2g79JaPR4WWTEhPF,Exchange,Mandatory KYC and AML
Poloniex,15kZXi7dDtRczGThZ1fthkpjwK4DEzVtyfWsKoba9kjkNH3Y,Exchange,Mandatory KYC and AML
WhiteBIT,12s8iHb27QewVcSqxwnfB4SCwDtGdsaHKAP73SFrPdd9shxK,Exchange,Mandatory KYC and AML
WhiteBIT,13BiGBjt5yNTLrA2h2MJQgfLqyAmHUWcYE7XxbFiBwiMoTHM,Exchange,Mandatory KYC and AML
YouHodler,13qeRjt4urK9vRdYro8BaWrXCo7XdcY9sjuLef6NQadagUpp,Exchange,Mandatory KYC and AML
YouHodler,15Cn64sk648sVURLqhZC4ZLdqnANrJsmGvyLfYzpSNZRYxcX,Exchange,Mandatory KYC and AML
Cryptology,15BWawDk115m19yM6gKtgQYtX6YDsSCJ1bY7xzKFrwMVkca9,Exchange,Mandatory KYC and AML
Cryptology,12Tc5j8sP9gbhxWJjwqbejbSA8LzFj7CF3nUrf6F9ugbofDj,Exchange,Mandatory KYC and AML
MEXC Global,14p8pciRuGiq3RNVh7fWRJXKF7tCVCohoKz3nCUSG6DY7QR8,Exchange,Mandatory KYC and AML
MEXC Global,16Xuv8TZpqSP9iSxquSJ9CQDfnJink7tFFNg8YYLqE5DiXkn,Exchange,Mandatory KYC and AML
Huobi Global,15kUt2i86LHRWCkE3D9Bg1HZAoc2smhn1fwPzDERTb1BXAkX,Exchange,Mandatory KYC and AML
Huobi Global,1j5Bh2RUMbkXMnFRWcHhDMbamaVkLKsgp87K1NqpmDS4i7K,Exchange,Mandatory KYC and AML
XT,15DW8nu5AVZxNogjsRDkCCTLHTPWLnFozCuBHWL5HG3txHhk,Exchange,Pending
XT,13R2cmzYCvG1NWhHxvo7651Co1JSiyXU9uLD1dAzdidktgHm,Exchange,Pending
Phemex,15hTaSogYFyGyRJhXdpQWRR1J9oya5nj4nFppi4XgUVMCvmP,Exchange,Not Required
Phemex,15qxihNHafphjmgd1Jjo4Jht4svXtBwtd9PnUCK9gKHQsnNx,Exchange,Not Required 
